,actual,predicted,error
272,2154.9,2148.7298111748314,6.17018882516868
273,2155.8,2117.642768607724,38.15723139227612
274,2150.8,2131.9058845175896,18.894115482410598
275,2145.7,2126.514180767281,19.18581923271904
276,2154.9,2139.573826851812,15.32617314818799
277,2161.1,2138.5606591778687,22.53934082213118
278,2173.9,2164.9405720500918,8.959427949908331
279,2172.0,2156.2162677338697,15.7837322661303
280,2156.4,2142.9948266526176,13.405173347382515
281,2150.9,2145.336407051615,5.563592948385121
282,2151.7,2146.743996288633,4.956003711366975
283,2148.8,2150.6093012311876,1.809301231187419
284,2143.6,2106.302088656912,37.29791134308789
285,1067.4,1373.5808923412958,306.1808923412957
286,1106.3,1102.6368958868793,3.663104113120653
287,1092.4,1103.8482876003177,11.448287600317599
288,1086.2,1101.7752620512051,15.575262051205073
289,1101.1,1099.8740627144116,1.2259372855883157
290,1089.1,1093.737146343881,4.637146343881113
291,1091.7,1105.1639316087535,13.463931608753455
292,1101.6,1100.8950184954283,0.7049815045716059
293,1084.1,1104.6913165844737,20.591316584473816
294,1086.1,1100.8853261960533,14.785326196053347
295,1100.8,1096.2859763849674,4.514023615032556
296,1094.4,1101.784638056195,7.3846380561949445
297,1096.2,1103.282592216292,7.082592216291914
298,1100.7,1089.0899331314395,11.61006686856058
299,1093.9,1099.1290764851146,5.229076485114547
300,1161.7,1094.147080082502,67.552919917498
301,1161.8,1097.3224081105736,64.47759188942632
302,1122.1,1096.6465588341457,25.4534411658542
303,779.7,837.7020260160149,58.00202601601484
304,760.7,772.6826178310157,11.98261783101566
305,770.6,773.2296692524985,2.629669252498502
306,799.7,765.2771646909398,34.42283530906025
307,788.9,766.404100510513,22.495899489486987
308,787.1,770.8321023474656,16.26789765253443
309,581.5,644.2779003437201,62.77790034372015
310,632.7,693.1772450803016,60.4772450803016
311,614.7,721.7096767681109,107.00967676811081
312,614.3,598.5043535802616,15.795646419738318
313,1215.2,999.6623602919047,215.5376397080953
314,1936.6,1782.2942886695223,154.3057113304776
315,2354.7,2037.446453962892,317.25354603710775
316,1186.0,1344.0654692156554,158.0654692156554
317,1210.9,1358.5338205722137,147.6338205722136
318,2182.4,2150.670982761946,31.729017238053984
319,2156.7,2157.965519761606,1.265519761606356
320,1021.2,1075.3603799353023,54.16037993530222
321,1009.2,1084.5162431959072,75.31624319590719
322,1006.9,1020.8904415774937,13.990441577493698
323,890.7,871.8535068059983,18.84649319400171
324,721.1,744.8248309970754,23.7248309970754
325,727.8,755.8689818136354,28.068981813635446
326,733.1,759.5084951596564,26.408495159656354
327,485.6,654.0817728545011,168.48177285450106
328,642.8,677.5250277118928,34.725027711892835
329,631.8,659.9633288854594,28.163328885459464
330,524.3,574.6575832263068,50.357583226306815
331,515.9,575.5710815310132,59.671081531013215
332,545.0,578.8319732745406,33.83197327454059
333,465.8,534.3164924014777,68.5164924014777
334,470.8,524.7158427198825,53.915842719882505
335,457.1,527.0329679050786,69.93296790507861
336,456.2,525.5648558790085,69.36485587900853
337,466.4,499.19552732904583,32.79552732904585
338,394.5,467.6555922774419,73.15559227744188
339,395.8,467.20292204980524,71.40292204980523
340,391.8,465.20053090238446,73.40053090238445
341,397.4,469.50550364679026,72.10550364679028
342,409.0,469.6008795827104,60.60087958271038
343,372.4,451.9651197912385,79.56511979123854
344,374.6,455.3964093651922,80.79640936519218
345,358.7,452.8016933945927,94.1016933945927
346,381.0,453.5453523323518,72.5453523323518
347,359.9,420.73928943805686,60.83928943805688
348,346.2,426.01313429872266,79.81313429872267
349,311.6,393.28752188530507,81.68752188530505
350,309.0,386.2038256303339,77.20382563033388
351,283.7,553.5335951219895,269.8335951219895
352,708.1,900.5342025501961,192.43420255019612
353,716.0,645.4249653075885,70.57503469241146
354,679.0,714.2091297071175,35.20912970711754
355,666.3,717.9366821084318,51.63668210843184
356,674.3,732.222324548758,57.92232454875807
357,667.1,725.2227727964848,58.12277279648481
358,691.4,727.8770521377799,36.47705213777988
359,667.7,723.6185390890241,55.91853908902408
360,656.0,716.0551415225132,60.05514152251317
361,660.9,717.8257262615347,56.92572626153469
362,662.2,720.4807731832536,58.28077318325359
363,344.6,402.74284438089796,58.14284438089794
364,324.0,421.87865011661745,97.87865011661745
365,432.9,496.55972842582867,63.65972842582869
366,680.4,572.244325057943,108.15567494205698
367,888.6,892.2257591096685,3.625759109668479
368,888.6,925.3455146892344,36.74551468923437
369,821.2,901.788252850558,80.58825285055798
370,855.1,883.3594679081126,28.259467908112583
371,871.8,877.8952618249843,6.095261824984391
372,475.9,570.7799814380351,94.87998143803509
373,368.6,414.858861855549,46.25886185554896
374,308.0,389.9996570484982,81.9996570484982
375,302.9,387.70938490775444,84.80938490775446
376,207.4,277.89313232567645,70.49313232567644
377,227.2,273.70249932996217,46.50249932996218
378,228.7,292.7769640117697,64.07696401176969
379,234.0,292.2178091099581,58.217809109958125
380,248.0,297.6932134223567,49.69321342235668
381,217.2,269.08165585386644,51.88165585386645
382,217.6,269.58425542647734,51.98425542647735
383,212.0,264.56703505836924,52.56703505836924
384,204.7,261.0079315599864,56.3079315599864
385,212.5,262.53281937332457,50.03281937332457
386,215.7,257.799595167349,42.09959516734904
387,202.5,250.99024444150598,48.49024444150598
388,213.9,236.91248906994224,23.012489069942234
