,actual,predicted,error
265,2145.7,2138.651847063882,7.048152936117731
266,2154.9,2152.5937330217785,2.306266978221629
267,2161.1,2147.953665102389,13.146334897610814
268,2173.9,2162.42027835733,11.479721642670029
269,2172.0,2155.9235232473684,16.076476752631606
270,2156.4,2139.8472817490774,16.55271825092268
271,2150.9,2141.7325654076376,9.167434592362497
272,2151.7,2133.72144054018,17.978559459819735
273,2148.8,2141.0738662961485,7.726133703851701
274,2143.6,2092.2309830903264,51.36901690967352
275,1067.4,1436.757547361088,369.3575473610879
276,1106.3,1098.8253047668907,7.474695233109287
277,1092.4,1043.1816248382925,49.21837516170763
278,1086.2,1099.5818588500513,13.38185885005123
279,1101.1,1088.5194158807271,12.580584119272771
280,1089.1,1114.6780602218482,25.578060221848318
281,1091.7,1086.2718529298752,5.428147070124851
282,1101.6,1111.3443117897332,9.744311789733274
283,1084.1,1100.9592489314375,16.859248931437605
284,1086.1,1105.2696809567333,19.169680956733373
285,1100.8,1093.868931474205,6.931068525794899
286,1094.4,1099.2846061001696,4.884606100169549
287,1096.2,1105.647766564537,9.447766564537005
288,1100.7,1088.639053788559,12.060946211440978
289,1093.9,1102.4751072587724,8.575107258772277
290,1161.7,1094.688806675006,67.01119332499411
291,1161.8,1102.6982750339953,59.10172496600467
292,1122.1,1105.7168330215625,16.38316697843743
293,779.7,845.1702665943723,65.47026659437222
294,760.7,762.1434319703164,1.4434319703163965
295,770.6,741.0653750809486,29.534624919051453
296,799.7,762.903434118811,36.79656588118905
297,788.9,757.7332759600139,31.166724039986093
298,787.1,779.3326764198385,7.767323580161474
299,581.5,635.2625208983403,53.76252089834031
300,632.7,684.1010811918827,51.40108119188267
301,614.7,691.5008309911605,76.80083099116041
302,614.3,583.7464064542612,30.55359354573875
303,1215.2,965.319199002723,249.880800997277
304,1936.6,1759.6859229489162,176.91407705108372
305,2354.7,2065.515130648714,289.18486935128567
306,1186.0,1441.7408641933387,255.74086419333867
307,1210.9,1380.281097195908,169.38109719590784
308,2182.4,2005.7036393213002,176.69636067869988
309,2156.7,2172.165664148412,15.465664148412088
310,1021.2,1186.2997111648363,165.0997111648362
311,1009.2,1094.9795208423725,85.77952084237245
312,1006.9,933.6316694842767,73.26833051572328
313,890.7,865.9167987536425,24.78320124635752
314,721.1,742.4258315018178,21.325831501817788
315,727.8,752.7350600024838,24.93506000248385
316,733.1,731.0684000526805,2.031599947319478
317,485.6,653.8025055413204,168.20250554132042
318,642.8,657.7920963846636,14.992096384663682
319,631.8,638.7133072732561,6.913307273256123
320,524.3,566.7117583156662,42.41175831566625
321,515.9,551.9387033752105,36.0387033752105
322,545.0,552.9374632590612,7.937463259061246
323,465.8,504.6193683803426,38.81936838034261
324,470.8,502.835474164203,32.03547416420298
325,457.1,496.0634942192954,38.9634942192954
326,456.2,494.75426608459304,38.55426608459305
327,466.4,470.7135184244835,4.3135184244835045
328,394.5,446.3210675784862,51.82106757848618
329,395.8,438.9314269531077,43.13142695310768
330,391.8,435.69463710137256,43.89463710137255
331,397.4,436.49501535061165,39.095015350611675
332,409.0,437.78753503498115,28.787535034981147
333,372.4,425.35275158321343,52.952751583213455
334,374.6,411.6820105101293,37.082010510129294
335,358.7,420.2952641612736,61.59526416127363
336,381.0,421.79477449449837,40.79477449449837
337,359.9,389.91354873553433,30.013548735534357
338,346.2,394.839972899559,48.639972899558984
339,311.6,357.40933296546496,45.80933296546493
340,309.0,349.2143855626807,40.21438556268072
341,283.7,539.8175279542722,256.11752795427225
342,708.1,855.067049836636,146.96704983663597
343,716.0,639.584447404813,76.41555259518702
344,679.0,733.8405909546973,54.84059095469729
345,666.3,718.5727175067532,52.272717506753224
346,674.3,728.577550367045,54.27755036704502
347,667.1,705.4036413122717,38.30364131227168
348,691.4,727.6353254494143,36.23532544941429
349,667.7,705.143164885892,37.443164885891974
350,656.0,701.86346384953,45.863463849530035
351,660.9,694.9702326552588,34.07023265525879
352,662.2,705.5582869468026,43.35828694680254
353,344.6,384.3697161230359,39.76971612303589
354,324.0,387.7180792170195,63.71807921701952
355,432.9,445.4239019386134,12.523901938613449
356,680.4,554.2096295819476,126.19037041805234
357,888.6,881.9126181882033,6.68738181179674
358,888.6,931.2923685457449,42.6923685457449
359,821.2,907.8068486457374,86.60684864573739
360,855.1,880.9729662048676,25.872966204867566
361,871.8,863.2720485646024,8.52795143539754
362,475.9,552.7459014316025,76.84590143160256
363,368.6,379.1865802208198,10.58658022081977
364,308.0,328.1293659545635,20.129365954563525
365,302.9,337.7029965734209,34.8029965734209
366,207.4,220.54006307461108,13.140063074611078
367,227.2,261.60215356249256,34.40215356249257
368,228.7,261.9227666386799,33.2227666386799
369,234.0,303.66074752676354,69.66074752676354
370,248.0,287.4453526668492,39.4453526668492
371,217.2,273.23553431464234,56.03553431464235
372,217.6,263.79692987662935,46.196929876629355
373,212.0,261.87080339406504,49.870803394065035
374,204.7,260.6025897439908,55.9025897439908
375,212.5,259.900074795993,47.40007479599302
376,215.7,257.2138156026343,41.51381560263434
377,202.5,291.0375961332481,88.53759613324809
378,213.9,286.2176632135748,72.31766321357478
