,actual,predicted,diff
0,470.8,486.3755,15.58
1,456.2,474.2595,18.06
2,394.5,429.5064,35.01
3,391.8,418.04816,26.25
4,409.0,427.21875,18.22
5,374.6,415.8557,41.26
6,381.0,409.04626,28.05
7,346.2,370.75323,24.55
8,309.0,340.01227,31.01
9,708.1,841.34973,133.25
10,679.0,693.04285,14.04
11,674.3,684.08875,9.79
12,691.4,694.43646,3.04
13,656.0,674.7475,18.75
14,662.2,679.892,17.69
15,324.0,407.05914,83.06
16,680.4,567.9703,112.43
17,888.6,956.88104,68.28
18,855.1,915.6578,60.56
19,475.9,538.1509,62.25
20,308.0,348.22208,40.22
21,207.4,257.5822,50.18
22,228.7,270.51028,41.81
23,248.0,287.9818,39.98
24,217.6,288.22363,70.62
25,204.7,288.81915,84.12
26,215.7,287.6395,71.94
27,213.9,275.48706,61.59
