,actual,predicted,diff
0,545.0,511.13443,33.865570068359375
1,465.8,465.80524,0.005236816406238631
2,470.8,470.22552,0.5744750976562614
3,457.1,479.67465,22.574652099609352
4,456.2,488.28046,32.08045654296876
5,466.4,463.06866,3.3313354492187273
6,394.5,425.5519,31.051910400390625
7,395.8,438.1805,42.380511474609364
8,391.8,438.35,46.550006103515614
9,397.4,441.574,44.17400512695315
10,409.0,456.73785,47.73785400390625
11,372.4,436.86307,64.46306762695315
12,374.6,434.0862,59.4862121582031
13,358.7,455.67255,96.97254638671876
14,381.0,442.5438,61.543792724609375
15,359.9,382.34573,22.445733642578148
16,346.2,390.7864,44.586407470703136
17,311.6,365.95554,54.35553588867185
18,309.0,359.18466,50.184661865234375
19,283.7,507.84885,224.1488464355469
20,708.1,839.6063,131.50632324218748
21,716.0,637.1625,78.8375244140625
22,679.0,633.99347,45.00653076171875
23,666.3,707.2511,40.951098632812545
24,674.3,675.0652,0.7651855468750455
25,667.1,674.2566,7.156591796874977
26,691.4,663.2158,28.184179687499977
27,667.7,657.204,10.496020507812545
28,656.0,645.5453,10.4547119140625
29,660.9,647.8818,13.018225097656227
30,662.2,656.2358,5.9642211914062955
31,344.6,375.77255,31.172552490234352
32,324.0,350.82516,26.825164794921875
33,432.9,485.78458,52.88457641601565
34,680.4,621.41895,58.98105468749998
35,888.6,905.80774,17.207739257812477
36,888.6,871.72217,16.877832031250023
37,821.2,903.50195,82.30195312499995
38,855.1,774.6839,80.41610107421877
39,871.8,840.5113,31.288708496093705
40,475.9,552.16583,76.26583251953127
41,368.6,299.03995,69.5600524902344
42,308.0,316.7855,8.785491943359375
43,302.9,350.1819,47.28188476562502
44,207.4,254.50522,47.10521850585937
45,227.2,235.01303,7.813031005859386
46,228.7,256.1804,27.480389404296886
47,234.0,274.18777,40.187774658203125
48,248.0,267.06552,19.065521240234375
49,217.2,259.04553,41.84553222656251
50,217.6,251.76704,34.16704406738282
51,212.0,252.15921,40.159210205078125
52,204.7,250.49416,45.794155883789074
53,212.5,248.06071,35.56071472167969
54,215.7,256.5234,40.823406982421886
55,202.5,248.46962,45.96961975097656
56,213.9,255.19789,41.29789123535156
