actual,predicted,error
515.9,547.6458,31.745812988281273
545.0,547.48474,2.4847412109375
465.8,534.28326,68.48326416015624
470.8,540.96515,70.16514892578124
457.1,537.2107,80.11069335937498
456.2,540.96515,84.76514892578126
466.4,558.84296,92.44295654296877
394.5,456.04086,61.540863037109375
395.8,457.04712,61.24711914062499
391.8,479.51602,87.71602172851561
397.4,457.04712,59.64711914062502
409.0,460.32037,51.32037353515625
372.4,457.04712,84.64711914062502
374.6,458.62704,84.02704467773435
358.7,458.62704,99.92704467773439
381.0,459.99423,78.99423217773438
359.9,491.6921,131.7921081542969
346.2,498.96613,152.76612548828126
311.6,491.08267,179.4826721191406
309.0,482.1391,173.13909912109375
283.7,585.6437,301.9436767578125
708.1,845.8417,137.74167480468748
716.0,615.3367,100.663330078125
679.0,717.6572,38.6572265625
666.3,692.649,26.348986816406295
674.3,686.25555,11.955554199218795
667.1,683.1207,16.020727539062477
691.4,666.66016,24.739843749999977
667.7,662.80255,4.8974487304687955
656.0,635.4513,20.5487060546875
660.9,635.80695,25.093054199218727
662.2,645.39465,16.805346679687545
344.6,474.97766,130.37766113281248
324.0,515.59705,191.5970458984375
432.9,504.69528,71.7952819824219
680.4,612.9707,67.42929687499998
888.6,838.7033,49.89669189453127
888.6,886.77405,1.8259521484375227
821.2,881.2577,60.057690429687455
855.1,866.58405,11.484045410156227
871.8,856.89795,14.902050781249955
475.9,661.98267,186.08266601562502
368.6,504.3717,135.77170410156248
308.0,473.68314,165.68313598632812
302.9,447.0693,144.1693054199219
207.4,296.68042,89.280419921875
227.2,269.34027,42.14027099609376
228.7,247.04051,18.34051208496095
234.0,246.63835,12.638351440429688
248.0,244.76616,3.2338409423828125
217.2,257.6281,40.42811279296876
217.6,252.74947,35.14946594238282
212.0,251.88756,39.88755798339844
204.7,265.19336,60.49335937500001
212.5,263.86304,51.363037109375
215.7,267.26376,51.563763427734386
202.5,280.28452,77.78451538085938
213.9,280.28452,66.38451538085937
