,actual,predicted,diff
0,545.0,537.6806,7.31939697265625
1,465.8,491.8441,26.044085693359364
2,470.8,494.23996,23.439959716796864
3,457.1,488.93387,31.833868408203102
4,456.2,502.6467,46.446697998046886
5,466.4,487.70325,21.303247070312523
6,394.5,444.8422,50.342193603515625
7,395.8,453.44974,57.649737548828114
8,391.8,446.47726,54.677264404296864
9,397.4,454.4957,57.0956970214844
10,409.0,473.43793,64.43792724609375
11,372.4,449.56857,77.1685729980469
12,374.6,440.51428,65.91428222656248
13,358.7,465.30505,106.60505371093751
14,381.0,450.70425,69.70425415039062
15,359.9,389.3962,29.496209716796898
16,346.2,398.0909,51.890911865234386
17,311.6,375.06247,63.46246948242185
18,309.0,368.7272,59.727203369140625
19,283.7,524.7488,241.048779296875
20,708.1,796.5932,88.49320068359373
21,716.0,669.2521,46.7479248046875
22,679.0,605.1998,73.8001708984375
23,666.3,667.9549,1.6548950195312955
24,674.3,643.226,31.073986816406205
25,667.1,671.14233,4.042333984374977
26,691.4,663.292,28.108007812499977
27,667.7,664.82153,2.8784667968750455
28,656.0,652.67017,3.329833984375
29,660.9,674.03955,13.139550781250023
30,662.2,678.0609,15.860913085937455
31,344.6,376.20422,31.604223632812477
32,324.0,344.85,20.850006103515625
33,432.9,464.54773,31.647729492187523
34,680.4,622.10205,58.29794921874998
35,888.6,883.30133,5.298669433593773
36,888.6,1024.1746,135.57456054687498
37,821.2,828.9617,7.7616699218749545
38,855.1,710.2515,144.84847412109377
39,871.8,811.6148,60.185192871093705
40,475.9,543.6589,67.75887451171877
41,368.6,334.37766,34.22234497070315
42,308.0,328.4523,20.452301025390625
43,302.9,367.70023,64.80022583007815
44,207.4,240.42174,33.02173767089843
45,227.2,232.99236,5.792355346679699
46,228.7,303.1174,74.41740112304689
47,234.0,257.5842,23.584197998046875
48,248.0,258.21747,10.21746826171875
49,217.2,239.21326,22.01325683593751
50,217.6,303.78934,86.18933715820313
51,212.0,252.53285,40.53285217285156
52,204.7,249.448,44.74799804687501
53,212.5,265.67725,53.17724609375
54,215.7,258.7786,43.078594970703136
55,202.5,253.06808,50.568084716796875
56,213.9,262.3796,48.47960815429687
